accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.439, 0.312, 1.124, 8.344, 5.763, -2.061
-0.451, 0.31, 1.146, 9.809, 3.344, 0.496
-0.447, 0.304, 1.137, 9.344, 6.939, -1.267
-0.436, 0.315, 1.15, 15.832, 3.099, 0.924
-0.386, 0.333, 1.158, 8.053, 4.267, 5.786
-0.402, 0.358, 1.15, 6.756, 8.595, 2.863
-0.408, 0.325, 1.17, 8.145, 4.389, 8.45
-0.423, 0.328, 1.165, 10.962, 6.725, -0.71
-0.448, 0.316, 1.167, 10.015, 2.71, 1.237
-0.413, 0.341, 1.119, 8.229, 5.748, -2.359
-0.43, 0.341, 1.128, 8.84, 5.229, -1.397
-0.43, 0.335, 1.115, 8.542, 4.313, -1.824
-0.433, 0.345, 1.125, 7.832, 4.351, -1.229
-0.447, 0.325, 1.134, 10.504, 7.756, -1.023
-0.422, 0.333, 1.131, 10.252, 6.87, -0.794
-0.438, 0.317, 1.142, 10.221, 8.038, -1.679
-0.442, 0.318, 1.147, 8.595, 7.13, -1.954
-0.438, 0.331, 1.134, 9.008, 5.496, -1.26
-0.458, 0.322, 1.14, 9.122, 6.55, -0.947
-0.446, 0.322, 1.105, 9.389, 6.214, -0.145
-0.449, 0.311, 1.147, 9.511, 5.962, -1.519
-0.45, 0.329, 1.13, 9.122, 6.031, -0.687
-0.445, 0.317, 1.126, 9.481, 4.573, -0.557
-0.451, 0.305, 1.152, 9.611, 8.046, -1.763
-0.388, 0.332, 1.147, 14.863, 8.924, 1.191
-0.473, 0.273, 1.137, 13.824, 13.947, -2.405
-0.421, 0.304, 1.162, 8.656, 5.885, -0.305
-0.416, 0.3, 1.135, 9.145, 8.099, -2.282
-0.419, 0.313, 1.132, 9.58, 7.328, -0.733
0.226, 0.009, 1.332, 8.634, 5.748, -0.924
0.225, 0.01, 1.328, 8.786, 5.634, -1.015
0.23, 0.01, 1.325, 9.031, 6.107, -1.023
-0.59, 0.226, 1.026, 104.794, -134.969, -17.542
-0.276, 0.478, 0.916, -3.687, 161.328, -14.901
0.042, 0.729, 0.842, 18.664, 24.107, 20.756
-0.524, 0.364, 1.016, -30.664, -20.885, -15.71
-0.278, 0.466, 0.942, 22.725, 30.328, -2.588
-0.142, 0.291, 1.331, -27.359, -17.099, 18.962
-0.242, 0.495, 1.123, 43.786, 47.038, -5.626
-0.162, 0.424, 1.217, -3.008, -8.0, -2.588
-0.09, 0.361, 1.082, 26.847, 35.595, -2.534
-0.077, 0.311, 1.252, 46.176, 26.328, -15.473
-0.252, 0.453, 1.163, -15.42, -25.153, -0.725
-0.029, 0.343, 1.371, 39.863, 15.817, -4.16
-0.155, 0.394, 1.054, 27.145, 19.328, 1.618
-0.314, 0.245, 1.198, 98.992, -25.313, -17.733
-0.479, 0.129, 1.323, -17.427, 53.695, -6.176
-0.568, 0.47, 0.328, 78.267, 99.672, -0.84
-0.676, -0.026, 1.162, 12.947, -229.137, 4.565
-0.78, 0.429, 0.447, 47.275, -14.382, -14.832
-0.534, 0.285, 1.106, 73.626, -81.244, -8.618
-0.146, 0.349, 1.393, -49.321, 125.466, 15.763
-0.802, 0.227, 0.848, 61.87, -112.649, 7.87
-0.544, 0.399, 0.944, 14.977, 159.466, 12.649
-0.401, 0.33, 1.303, 48.519, 4.977, -14.824
-0.403, 0.277, 1.015, 28.733, 5.786, -20.084
-0.492, 0.345, 1.326, 9.176, 1.015, -3.557
-0.256, 0.305, 1.328, 18.405, 22.87, 19.511
-0.166, 0.31, 1.03, 5.267, -0.702, -19.458
-0.333, 0.235, 1.311, 2.84, -3.076, -24.832
-0.238, 0.247, 1.102, 19.229, -1.435, -20.786
-0.297, 0.469, 1.194, 59.458, 12.786, 4.947
-0.231, 0.615, 1.107, -31.237, 23.443, 19.351
-0.196, 0.621, 1.164, 10.786, 33.496, 14.405
-0.369, 0.553, 1.049, 46.466, 7.748, -1.405
-0.447, 0.565, 0.823, 28.145, -0.191, -14.969
-0.371, 0.473, 1.215, -5.939, 18.664, 13.969
-0.287, 0.505, 1.182, -15.588, 17.779, 18.061
-0.305, 0.444, 1.186, 11.244, 35.031, 11.122
-0.414, 0.459, 1.285, 24.221, -128.084, 20.237
-0.003, 0.689, 0.882, -37.962, -26.863, 8.603
0.066, 0.358, 1.354, 35.374, 44.29, -9.84
-0.027, 0.696, 1.095, -51.634, -35.183, 23.618
-0.055, 0.529, 1.154, 65.947, 70.634, -0.527
-0.67, 0.318, 1.172, -24.878, -93.282, -6.084
0.034, 0.23, 1.346, 59.038, 31.031, -10.664
-0.309, 0.659, 1.044, 1.374, 133.87, 13.519
-0.491, 0.551, 0.976, 40.718, -64.878, 2.74
-0.146, 0.641, 1.104, 99.092, 4.595, 14.748
-0.039, 0.31, 1.254, 77.649, -16.55, -10.893
0.092, 0.575, 1.07, 73.237, -9.626, 17.718
-0.117, -0.029, 1.269, -87.405, 62.015, -12.183
-0.018, 0.64, 0.949, 89.611, -43.916, 16.038
0.171, 0.86, 0.568, 74.153, -6.29, 5.84
