accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.269, 1.009, 0.983, -3.954, 3.244, -18.214
-0.305, 0.97, 0.964, -2.435, 9.023, 20.046
-0.16, 0.694, 0.877, 15.878, 22.489, 16.916
-0.125, 0.656, 0.78, -7.351, 34.191, 3.153
-0.191, 1.144, 0.933, -16.214, -33.374, -9.321
-0.22, 0.787, 0.776, 7.084, -10.244, 9.397
-0.175, 0.859, 0.835, 7.229, -21.481, 2.26
-0.077, 0.674, 0.878, 53.435, 1.092, -10.908
-0.159, 0.815, 0.749, -13.641, 56.504, 61.0
-0.044, 0.603, 0.757, 4.748, 61.298, 4.992
-0.058, 0.71, 0.877, 40.702, -56.763, 3.0
-0.404, -0.132, 1.219, 2.366, -0.198, -28.427
